 destination distance_m duration_s origin v_ave_kmph
0 B77 38221.0 1752.0 CV4 78.53630136986304
1 GU7 93586.0 4048.0 DA1 83.2286561264822
2 OL9 175889.0 7034.0 DN33 90.01996019334659
3 SG12 440580.0 16680.0 SA61 95.08920863309349
4 EX1 314141.0 12314.0 EC1Y 91.83917492285204
5 PO3 436574.0 16059.0 BB12 97.868260788343
6 IV26 699879.0 27543.0 M17 91.47748611262392
7 PA24 755598.0 28792.0 SE27 94.47599333148098
8 EC2N 1538389.0 54630.0 SS1 101.37654036243822
9 B27 4112.0 407.0 B26 36.37149877149878
10 BS16 300977.0 12228.0 CO8 88.60951913640825
11 DA3 402725.0 15506.0 BB4 93.49993550883528
12 CA16 76594.0 3648.0 DL7 75.58618421052631
13 IP33 276125.0 11475.0 SK17 86.62745098039215
14 SY20 47472.0 2828.0 LL38 60.43111739745403
15 BL1 347415.0 12531.0 FK7 99.80799616949965
16 EX32 343855.0 15026.0 TN7 82.38240383335553
17 WC2R 444967.0 17866.0 NE1 89.66087540579872
18 BT1 560562.0 26456.0 DY3 76.27846991230723
19 BB3 162678.0 8240.0 TS3 71.07291262135921
20 HR6 307617.0 12984.0 DN20 85.29121996303142
21 OL16 358287.0 12560.0 W4 102.69372611464969
22 GL50 300238.0 12834.0 IP5 84.21823281907433
23 DY2 341543.0 13459.0 SR1 91.3555836243406
24 L12 231070.0 8907.0 DL4 93.39306163691481
25 GY5 183873.0 14656.0 DT6 45.16531113537118
26 EH3 250207.0 17263.0 PA70 52.177790650524244
27 BT63 736280.0 34083.0 BA9 77.76921045682597
28 LL78 262014.0 10391.0 B7 90.77570974882109
29 PE23 799330.0 34516.0 IV49 83.36968362498551
30 B31 267966.0 9774.0 ME4 98.69834254143647
31 DG5 247273.0 18475.0 BT30 48.183101488497975
32 EX22 400482.0 16743.0 DA9 86.10972943916863
33 EX34 378095.0 15796.0 IG4 86.17004304887314
34 TQ8 348662.0 14359.0 CV7 87.41438818859253
35 SY7 165006.0 8091.0 WN7 73.41757508342603
36 W1G 496446.0 17959.0 CA4 99.51587504872208
37 BN43 215837.0 9239.0 CO14 84.10143954973479
38 KY4 719336.0 25399.0 KT15 101.95714791920942
39 LL25 706137.0 37278.0 PA46 68.19285369386769
40 BN16 92284.0 5702.0 TN35 58.26418800420905
41 G41 625318.0 22411.0 BS29 100.44820846905537
42 B40 31957.0 1635.0 WS1 70.36403669724771
43 YO21 173346.0 7644.0 OL1 81.63861852433281
44 M4 137137.0 5238.0 RG24 94.25223367697596
45 DT8 236824.0 11480.0 LD8 74.26536585365854
46 NN3 174355.0 6810.0 RH6 92.17004405286345
47 SA33 355594.0 14042.0 WC1X 91.16496225608887
48 HP10 70096.0 4879.0 DA18 51.720762451322
49 PL24 575460.0 22232.0 DN41 93.18351925152932
50 NE9 152790.0 6877.0 BD1 79.98313217972952
51 PE9 170037.0 7159.0 WC2R 85.50540578293058
52 NG5 274460.0 10542.0 CF24 93.7256687535572
53 WC1V 398950.0 15966.0 DL4 89.95490417136415
54 HS2 1080132.0 53944.0 SN15 72.08355331454841
55 TQ13 470325.0 17810.0 WF13 95.06850084222349
56 YO32 368122.0 14450.0 BS30 91.7120553633218
57 CM11 427052.0 16942.0 EX33 90.74413882658482
58 BN9 49142.0 3129.0 BN16 56.539213806327886
59 CF5 530095.0 20123.0 NE17 94.83387168911196
60 LS14 339592.0 13040.0 KT13 93.75239263803681
61 HS2 322949.0 25385.0 AB53 45.799346070514076
62 YO18 300280.0 12356.0 CB23 87.48850760764
63 SY11 301463.0 11792.0 DL17 92.03415875169607
64 N11 269494.0 11458.0 HR4 84.67257811136324
65 M2 464241.0 17269.0 TN29 96.77848167236088
66 TR1 721110.0 26959.0 DH7 96.29422456322563
67 NN2 428143.0 28298.0 IM9 54.467269771715316
68 NR32 136956.0 7468.0 PE12 66.0205677557579
69 KY13 113643.0 5102.0 KA2 80.18714229713838
70 SW14 293733.0 10763.0 CW12 98.24758896218529
71 BN11 437620.0 17385.0 SA69 90.62018981880932
72 IP19 55327.0 3350.0 IP31 59.45588059701493
73 HS4 869040.0 44760.0 LN6 69.89597855227882
74 IV5 720083.0 27946.0 WS4 92.76099620697056
75 HP20 121326.0 5712.0 SS8 76.46596638655463
76 DL9 120729.0 5161.0 HD8 84.21321449331525
77 RG26 273427.0 11977.0 EX21 82.18562244301579
78 CV11 176976.0 7676.0 RG21 83.00072954663887
79 B37 202705.0 8607.0 BD13 84.78424538166608
80 ML2 559033.0 20176.0 MK2 99.74815622521808
81 PE11 529828.0 21292.0 PL23 89.58204020289308
82 B44 154115.0 6533.0 OL1 84.92484310424004
83 KT19 791167.0 33891.0 BT18 84.04004602991945
84 NE65 503753.0 19424.0 NW2 93.36443574958814
85 TD10 537664.0 21341.0 EN5 90.69820533245864
86 RG22 186018.0 8053.0 TA8 83.157183658264
87 NP8 63808.0 3397.0 CF14 67.62107742125404
88 TS8 34132.0 1865.0 TS21 65.88482573726543
89 JE1 774611.0 41514.0 SR6 67.17251047839282
90 CA26 482476.0 19622.0 SG14 88.51868311079399
91 TD13 492651.0 19492.0 B62 90.98828237225528
92 SO20 825588.0 36901.0 BT82 80.5429879949053
93 EH23 430705.0 17314.0 TF6 89.55400254129606
94 EH29 611525.0 21936.0 MK4 100.35968271334794
95 TN22 742352.0 27585.0 FK1 96.88117455138662
96 BD7 576161.0 29431.0 IV45 70.47601508613367
97 BS36 200508.0 8639.0 IG8 83.5546706794768
98 RH8 328878.0 12127.0 CW1 97.63014760451885
99 TF3 82099.0 3549.0 B94 83.27878275570582
100 BT71 865712.0 37932.0 PL19 82.16184751660866
