 destination distance_m duration_s origin v_ave_kmph
0 55234 818691.0 34936.0 39291 84.36247996336158
1 65191 1709094.0 66916.0 22607 91.94719349632376
2 19217 513005.0 17597.0 7987 104.95073023810879
3 66978 2589412.0 103112.0 95359 90.40541547055628
4 49328 1494468.0 48750.0 73104 110.36071384615386
5 26345 3155092.0 104938.0 19065 108.23849511139912
6 54296 1861353.0 74650.0 16792 89.763841929002
7 37308 1359965.0 46333.0 54657 105.66710551874478
8 54426 1318944.0 42750.0 74366 111.06896842105265
9 76835 1668878.0 59086.0 60486 101.68163016619845
10 26382 534271.0 18157.0 97506 105.93025279506529
11 77796 834558.0 27539.0 24790 109.09651040342787
12 1723 2096548.0 67644.0 39517 111.57786056412985
13 25597 6166718.0 239129.0 18574 92.83769346252441
14 18109 4585366.0 146345.0 94110 112.79727766578974
15 4617 5392724.0 177580.0 98530 109.32428426624621
16 71549 2119151.0 86267.0 6773 88.43408951279167
17 1994 730733.0 23289.0 57635 112.9562797887415
18 24364 186469.0 7949.0 19258 84.44941502075731
19 99441 2047180.0 82771.0 69231 89.03901124790085
20 98660 1638064.0 55873.0 92345 105.54347180212268
21 4849 53110.0 3304.0 4860 57.868038740920106
22 29478 5468402.0 215143.0 25869 91.50308027683914
23 17166 752741.0 23702.0 85604 114.33075689815205
24 29549 6104418.0 232316.0 56814 94.59488283200469
25 26670 2841918.0 106423.0 49624 96.1343393815247
26 24805 349218.0 12223.0 18574 102.85402928904524
27 99518 6117034.0 246910.0 74931 89.18764894090964
28 55234 4645296.0 218071.0 17139 76.68633426727995
29 59269 692792.0 22143.0 29473 112.63384365262158
30 50767 244547.0 8168.0 31737 107.78271302644464
31 6449 2320940.0 94609.0 91471 88.31489604583072
32 17375 51470.0 2575.0 17129 71.95805825242721
33 2894 1828847.0 60904.0 35043 108.10208196505975
34 87672 261414.0 9604.0 94377 97.98942107455228
35 91620 1971163.0 90152.0 2694 78.71358150678854
36 72285 3245208.0 112596.0 24980 103.75811574123415
37 39291 4992658.0 196354.0 99444 91.53655540503378
38 6193 4094600.0 140751.0 15517 104.72792378029284
39 37308 1359975.0 44255.0 73111 110.62953338605809
40 74639 4452294.0 178886.0 84435 89.60040696309382
41 6618 334508.0 11265.0 17209 106.90002663115848
42 76356 1584619.0 55305.0 50739 103.14851098454027
43 82349 1953323.0 66241.0 91580 106.15725608007126
44 31711 778038.0 26935.0 27616 103.9887432708372
45 23847 4664964.0 149979.0 98639 111.97481247374633
46 93185 1361833.0 49153.0 6618 99.74159868166744
47 31552 1921104.0 64700.0 67150 106.89295826893354
48 49477 1172349.0 41837.0 7616 100.87856203838707
49 27624 2190434.0 75790.0 56291 104.04489246602456
50 94529 4171250.0 133529.0 16259 112.4587168330475
51 19300 6062676.0 307064.0 38170 71.07845139775422
52 66649 468638.0 15704.0 99735 107.43102394294444
53 6425 5495918.0 210562.0 15518 93.9642708560899
54 36208 1935269.0 74718.0 99713 93.24350758853286
55 17089 1788048.0 59662.0 51645 107.89066407428514
56 74369 2785519.0 89345.0 83536 112.23760031339191
57 83735 3970382.0 127124.0 7646 112.43648091627071
58 44651 1480076.0 52131.0 56288 102.2093111584278
59 39240 769462.0 25986.0 34327 106.59829138767029
60 24354 678705.0 22460.0 35260 108.78619768477293
61 4565 1962303.0 67353.0 37355 104.88457529731414
62 39638 1089438.0 37085.0 78579 105.75641903734665
63 66879 5610008.0 213803.0 56865 94.46092337338577
64 57629 6324439.0 242487.0 9246 93.89361244107931
65 39221 5130892.0 199479.0 77756 92.597271893282
66 55758 2751422.0 94671.0 4860 104.62675159235668
67 17214 513328.0 19161.0 6794 96.44490371066229
68 39264 883504.0 42312.0 8134 75.17050482132728
69 73557 1345283.0 45878.0 37359 105.562988796373
70 37345 1462298.0 49823.0 78652 105.65949059671236
