 destination distance_m duration_s origin v_ave_kmph
0 423232 1122740.0 56141.0 152110 71.99487005931496
1 396681 419034.0 20947.0 306053 72.01615505800353
2 172368 127597.0 7043.0 215027 65.22067300866108
3 301932 376658.0 19907.0 393161 68.11517556638367
4 191040 1011054.0 50616.0 243425 71.90995732574679
5 359186 1152342.0 60964.0 607232 68.04722787218687
6 143965 700399.0 31667.0 397404 79.62346922663974
7 692871 9619689.0 439583.0 182106 78.78120946442424
8 427066 19353.0 1164.0 679513 59.85463917525774
9 172828 4269082.0 200231.0 659614 76.75482417807433
10 307047 875485.0 40581.0 442604 77.6655577733422
11 617012 251774.0 13717.0 427020 66.07759714223225
12 442271 217417.0 11749.0 393633 66.61853774789344
13 152600 843342.0 36533.0 397963 83.10380204198944
14 306028 412517.0 20531.0 242834 72.3326287078077
15 346330 408477.0 19508.0 353034 75.38021324584786
16 393923 849897.0 42847.0 243085 71.40824795201532
17 403161 588387.0 31935.0 309392 66.3282667919211
18 393491 1497278.0 80687.0 619556 66.80383209191072
19 393252 764492.0 37306.0 215236 73.77288371843672
20 188337 790999.0 38808.0 216632 73.37653061224489
21 174415 975811.0 43757.0 396020 80.28245994926527
22 391070 609621.0 35044.0 425376 62.625145531332045
23 617412 1234043.0 61533.0 413482 72.19792306567209
24 629840 30309.0 1585.0 423823 68.84063091482649
25 393801 1614364.0 75514.0 236040 76.9620255846598
26 456609 18250.0 1049.0 249051 62.63107721639658
27 385750 3072627.0 149215.0 623966 74.13100023456087
28 455002 853.0 109.0 457121 28.172477064220185
29 692270 7983417.0 363609.0 446364 79.04177619365858
30 410038 1263522.0 57809.0 216121 78.684620041862
31 425438 961837.0 52756.0 171672 65.63449086359846
32 152459 837641.0 38444.0 303951 78.43896576839039
33 303717 1119393.0 50603.0 198320 79.63588720036363
34 155434 540524.0 27526.0 162168 70.69266874954587
35 659642 2528720.0 117350.0 446494 77.57470813804858
36 403392 3506580.0 165390.0 659041 76.32679122075095
37 431637 152221.0 14356.0 433227 38.171886319309
38 309991 611367.0 33858.0 347388 65.00446570972888
39 403812 1338964.0 60395.0 172611 79.81240831194637
40 169370 10964.0 854.0 368363 46.21826697892272
41 191015 1295027.0 59433.0 393460 78.44290545656455
42 612516 1616511.0 77194.0 242735 75.38720107780398
43 396355 210298.0 10739.0 307077 70.49751373498464
44 127091 19672.0 1161.0 369144 60.9984496124031
45 612311 390437.0 19858.0 607467 70.78120656662303
46 140081 3461168.0 149167.0 659771 83.53191255438536
47 627376 4403522.0 203417.0 632320 77.931928993152
48 140570 541299.0 26335.0 607740 73.99568634896525
49 617820 1368242.0 64818.0 142530 75.99233546237156
50 446395 821070.0 44624.0 613640 66.23906418070993
51 446872 778684.0 41260.0 617020 67.9414057198255
52 412221 796685.0 41294.0 155459 69.45478762047756
53 396317 745618.0 35851.0 353718 74.87168558757078
54 623566 1891900.0 89665.0 412283 75.95873529247756
55 607901 867906.0 46599.0 427513 67.04997102942123
56 160551 935341.0 51441.0 612487 65.45805097101533
57 412348 768182.0 36728.0 422879 75.29555652363321
58 152907 1396998.0 60514.0 346583 83.10792213372112
59 433744 1275978.0 63302.0 216424 72.56517645572019
60 143406 466619.0 24383.0 391663 68.893425747447
61 632866 2561401.0 123106.0 433361 74.90328334930872
62 352394 2065172.0 104350.0 427087 71.24694968854816
63 397462 633563.0 35226.0 602226 64.74839039345937
64 607153 2190896.0 105669.0 446190 74.64086534366749
65 659846 5668968.0 256942.0 692238 79.42759377602728
66 249876 627608.0 30662.0 162481 73.68693496836475
67 623752 2426736.0 118864.0 347942 73.49785973886122
68 215240 688214.0 32132.0 393923 77.1060126976223
69 157448 2083932.0 91366.0 356205 82.11101722741502
70 427241 1572766.0 72354.0 214006 78.25355336263371
71 385121 832949.0 41755.0 397469 71.81454676086696
72 606408 1774849.0 80084.0 353599 79.78443134708556
73 679378 11213.0 806.0 309593 50.08287841191067
74 307602 1313767.0 63681.0 356702 74.26958119376266
75 397220 642622.0 28442.0 143369 81.3388369312988
76 446661 1261357.0 62403.0 309209 72.76709773568578
77 215723 786239.0 37791.0 393626 74.8977375565611
78 446113 8270924.0 383970.0 692980 77.54597077896709
79 152882 459233.0 23423.0 161572 70.58185544123296
80 393576 985174.0 46930.0 171866 75.57269124227571
81 172508 4039812.0 176941.0 659702 82.1930654851052
82 216598 1257808.0 63222.0 422477 71.62235930530511
83 403951 1210043.0 62791.0 613592 69.37546463665174
84 143432 1121592.0 53352.0 443535 75.68097165991901
85 424039 790842.0 41317.0 162138 68.90701648231962
86 216475 1203981.0 56157.0 412800 77.18239222180672
87 187635 1865163.0 93062.0 624222 72.15175689325396
88 422163 1527162.0 71757.0 175264 76.61668129938542
89 161581 1311912.0 68067.0 443006 69.38579928599762
90 600007 998557.0 47916.0 403464 75.02306536438769
91 612138 648030.0 35797.0 431787 65.17048914713524
92 353178 1938795.0 89444.0 606972 78.0338759447252
93 624213 2473526.0 124023.0 307348 71.79872765535423
94 630534 3050728.0 142472.0 412227 77.08616991408839
95 119415 611366.0 31912.0 431309 68.9683379293056
96 442603 6007526.0 309264.0 309628 69.93084743132083
97 606755 553328.0 29131.0 627106 68.3801036696303
98 453805 2305679.0 103821.0 403151 79.94957089606149
99 303654 442019.0 22714.0 243271 70.05672272607204
100 143123 1078122.0 54434.0 433541 71.30174523275895
101 353371 243295.0 15334.0 352644 57.11895134994131
102 404160 1119469.0 53329.0 601958 75.57029758667892
103 412438 318118.0 16658.0 404214 68.74923760355385
104 309285 544026.0 27572.0 399814 71.03197446685043
105 391235 499990.0 24966.0 412145 72.09661139149243
106 353301 1912928.0 83576.0 160508 82.39854503685268
107 162322 1085920.0 53520.0 431475 73.04394618834081
108 613097 1542290.0 80538.0 396250 68.93943231766372
109 175443 1289779.0 64450.0 433931 72.04351280062062
110 412904 1247825.0 63079.0 352561 71.21498438466051
111 152041 1624612.0 77756.0 620092 75.21738772570605
112 423072 2402036.0 116354.0 607671 74.31914330405486
113 603037 921465.0 44154.0 307079 75.12963717896453
114 216137 490776.0 24171.0 301117 73.09559389350875
115 171915 578962.0 29139.0 181375 71.52830227530113
116 391687 811815.0 38980.0 306027 74.97521806054387
117 396388 1051595.0 49739.0 446602 76.11214539898269
118 307821 936846.0 42911.0 152931 78.59629465638182
119 216774 699814.0 34301.0 171482 73.44772455613538
120 422338 1685059.0 86858.0 352642 69.84057196803978
121 425385 3285242.0 157606.0 659455 75.04074210372701
122 632302 3450212.0 161556.0 307358 76.88209165861994
123 397942 191890.0 9797.0 396784 70.51178932326222
124 243018 3598478.0 169302.0 632166 76.51723429138463
125 216580 1177996.0 57095.0 403654 74.27595411156844
126 423464 2684868.0 125999.0 659511 76.71112310415162
127 396575 954392.0 46007.0 446739 74.68018345034451
128 385141 1068812.0 50808.0 305035 75.73065658951347
129 172751 650695.0 28323.0 153005 82.70670479822053
130 187553 1006774.0 51806.0 243237 69.96074585955293
131 612549 895513.0 44769.0 623572 72.01069490048917
132 442319 829999.0 42539.0 427781 70.24134088718588
133 431627 1258746.0 59140.0 187642 76.6230233344606
134 404077 566574.0 30197.0 397606 67.54533231777991
135 346909 773142.0 36373.0 303773 76.52135375140901
136 606463 469607.0 23446.0 105118 72.10548494412694
137 412634 973816.0 46548.0 302020 75.31446249033256
138 431319 1038467.0 59867.0 612834 62.44644294853593
139 654231 821550.0 40075.0 632776 73.80112289457267
140 391464 569586.0 31196.0 396573 65.72988844723682
141 607157 504348.0 28668.0 301883 63.33377982419423
142 423325 1283253.0 65066.0 162224 71.00038115144622
143 433431 1261882.0 63379.0 174502 71.67634705501824
144 157991 1069689.0 51672.0 181137 74.52547607988853
145 346266 800911.0 40733.0 303155 70.7848574865588
146 612614 654002.0 31737.0 152116 74.18493241327158
147 249372 896431.0 41911.0 157224 77.00010975638855
148 215361 421709.0 19818.0 600017 76.60472297910991
149 624015 2206700.0 102858.0 303153 77.23385638453013
150 396739 643133.0 33980.0 391883 68.13651559741025
151 143232 1164310.0 56649.0 238222 73.99099719324259
152 403792 692349.0 39082.0 347796 63.77504733636969
153 630900 497578.0 24590.0 658999 72.8459048393656
154 301609 2623538.0 116002.0 655614 81.41874105618871
155 452032 5462499.0 233546.0 658908 84.20181206271998
156 157505 2689916.0 115156.0 453655 84.09199346972801
157 607044 4785470.0 216260.0 658876 79.66194395634885
158 187461 526590.0 24083.0 181310 78.71627288959017
159 350908 1164788.0 54223.0 303332 77.33317595854156
160 423016 1121541.0 54621.0 396456 73.91932773109245
161 393863 559366.0 29282.0 413282 68.76981080527287
162 632101 6764172.0 342462.0 425145 71.105755383079
163 602135 792086.0 38874.0 174358 73.35261614446675
164 420032 651716.0 36740.0 612834 63.85894393032118
165 142500 90611.0 5758.0 125183 56.6515456755818
166 152832 154073.0 7996.0 171611 69.36753376688344
167 171841 1171600.0 54684.0 403703 77.1296905859118
168 403331 366684.0 18533.0 396324 71.2276695624022
169 618707 1949924.0 92845.0 632590 75.60694059992461
170 610902 384503.0 20978.0 425075 65.98392601773286
171 403377 831018.0 39463.0 301212 75.80936066695386
172 399831 2181755.0 108082.0 623885 72.66999130289966
173 424001 1859768.0 98400.0 353456 68.04029268292682
174 423271 958194.0 52481.0 157282 65.72851889255159
175 347401 1999771.0 102090.0 619556 70.51793123714371
176 422031 908180.0 47054.0 391716 69.48289199642964
177 353785 305668.0 19971.0 352213 55.10013519603425
178 171888 1060569.0 55303.0 429804 69.03872122669655
179 192102 1160082.0 51637.0 307147 80.87795960261053
180 303216 1209257.0 56711.0 385132 76.7633298654582
181 249362 1309181.0 63263.0 601103 74.499337685535
182 197376 2034185.0 92150.0 627230 79.46897449810092
183 399611 475017.0 25079.0 601950 68.18697715219905
184 431243 68987.0 4788.0 431273 51.86992481203008
185 623311 676946.0 39188.0 422756 62.187547208329065
186 393513 1716255.0 78955.0 238215 78.253663479197
187 142672 1529419.0 76472.0 618255 71.99901140286642
188 422126 700057.0 41296.0 618282 61.02782836110035
189 607509 243583.0 13561.0 431280 64.6632844185532
190 238203 2198667.0 108609.0 613484 72.87794934121482
191 385331 819315.0 40625.0 309930 72.60391384615386
192 391940 489551.0 23567.0 431777 74.78183901217805
193 633249 3124182.0 147636.0 404220 76.18098024871982
194 620077 1055688.0 52329.0 422885 72.62658946282177
195 446643 580808.0 30908.0 413281 67.64943703895432
196 352902 1028750.0 52973.0 410078 69.91297453419665
197 152150 953453.0 42224.0 412390 81.29099090564607
198 601971 810095.0 41457.0 433932 70.34619002822201
199 606857 2920996.0 139124.0 633139 75.58426727236136
200 633000 5656219.0 259845.0 692696 78.36359522022744
201 391201 847710.0 45272.0 612388 67.40934794133238
202 412642 901456.0 46205.0 309981 70.23572340655774
203 431564 1135520.0 61858.0 346989 66.0847748068156
204 427160 277021.0 16210.0 617731 61.522245527452185
205 353620 1114621.0 53558.0 391054 74.92131147540984
206 426039 397789.0 25091.0 612090 57.073867123669864
207 180019 517276.0 25118.0 172122 74.13781352018474
208 607719 1208013.0 62701.0 346771 69.35849189008151
209 431214 3104122.0 133811.0 658923 83.51211185926418
210 425457 233597.0 13793.0 422650 60.969274269557026
211 352316 713876.0 34294.0 403482 74.93886977313817
212 346243 727437.0 36690.0 353327 71.37566639411283
213 393243 1168512.0 58488.0 353323 71.92318424292164
214 433940 8460453.0 391945.0 692861 77.70894079526464
215 607114 601378.0 32811.0 396302 65.98277406967175
216 433821 930991.0 46784.0 152185 71.63918433652532
217 413259 807780.0 37445.0 399572 77.66078248097209
218 307931 562901.0 29963.0 393728 67.63153222307513
219 397808 703573.0 37122.0 431276 68.23077420397608
220 425553 5956.0 616.0 368770 34.80779220779221
221 445032 700854.0 37241.0 612634 67.74991004538009
222 393549 737615.0 38876.0 445008 68.30471241897314
223 658796 152.0 15.0 658741 36.48
224 601618 482215.0 24537.0 215470 70.74923584790318
225 452013 6225908.0 313960.0 429101 71.38893107402217
226 143332 977703.0 46527.0 612641 75.64921013605003
227 682970 8509575.0 391380.0 155075 78.27295722826919
228 423350 2602718.0 110749.0 658325 84.60378694164281
229 162834 894247.0 45693.0 612399 70.45475674610991
230 410031 459293.0 22578.0 397024 73.23300558065371
231 613526 1301371.0 67922.0 404614 68.9752304113542
232 450512 2746060.0 125709.0 433733 78.64047920196644
233 427324 917647.0 47296.0 413080 69.84796177266578
234 121552 727501.0 34511.0 188514 75.88895134884531
235 425377 310267.0 18519.0 606168 60.31433662724768
236 624841 3370517.0 159634.0 607253 76.01050653369583
237 391069 580701.0 28979.0 429815 72.13925946374961
238 198260 1252436.0 57135.0 393628 78.91431871882385
239 652072 3770262.0 173031.0 305545 78.44226294710197
240 606463 226607.0 12171.0 601972 67.02696573823023
241 617161 1197583.0 63850.0 353475 67.5222991386061
242 393916 899158.0 41065.0 216251 78.82549129428955
243 624923 649614.0 46881.0 617050 49.883970051833366
244 427135 2566436.0 122216.0 659240 75.59705439549649
245 347350 1038988.0 47300.0 142926 79.07731078224101
246 456805 6194478.0 306498.0 305026 72.75780200849599
247 393582 646449.0 33189.0 346635 70.12011208532947
248 301362 113831.0 5999.0 301315 68.30998499749958
249 155829 674495.0 34049.0 612079 71.31434109665483
250 624940 2178910.0 106542.0 633359 73.62426085487414
251 346672 1377588.0 67449.0 607541 73.5269136681048
252 412185 1101300.0 55016.0 216454 72.06412679947651
253 216415 588971.0 28821.0 309501 73.5677318621838
254 443035 1003691.0 49231.0 623704 73.39456033799841
255 404255 1064824.0 52356.0 306538 73.217327526931
256 346500 9416368.0 437751.0 690922 77.438828923292
257 632145 2956930.0 139289.0 119072 76.42346488236687
258 397456 735035.0 40196.0 347526 65.83058015722958
259 215150 1913212.0 92189.0 623367 74.71133432405169
260 172353 718969.0 31990.0 392034 80.90929665520477
261 429208 1437294.0 76037.0 352051 68.04921814379841
262 306538 2257882.0 107875.0 624857 75.3499439165701
263 429446 210943.0 11530.0 425525 65.86251517779705
264 243108 2015224.0 94076.0 614002 77.11644202559633
265 422084 519942.0 24962.0 603069 74.98562615175067
266 606016 455042.0 24887.0 391985 65.82357053883554
267 243333 1127889.0 57297.0 347165 70.8658463793916
268 403161 640498.0 33257.0 352056 69.33255555221457
269 399459 800636.0 42284.0 429537 68.1650175007095
270 443901 1175514.0 54043.0 143715 78.30524582277077
271 142642 1193035.0 55776.0 427400 77.00311962134249
272 162242 2246010.0 103327.0 354054 78.2528864672351
273 658870 3862544.0 173774.0 352526 80.01863569924154
274 353309 831868.0 36785.0 216200 81.41157537039554
275 422152 1093266.0 53595.0 391736 73.4351637279597
276 236005 1499248.0 72713.0 155023 74.22734311608653
277 346950 1559240.0 72474.0 606624 77.45210696249691
278 617576 2144428.0 100594.0 307222 76.74355130524684
279 162610 417518.0 19886.0 155502 75.58406919440812
280 633373 3542307.0 165323.0 397736 77.13569920700691
281 423355 1357202.0 68569.0 162674 71.25562863684756
282 423818 2643516.0 123384.0 607433 77.13040264539973
283 429103 443400.0 21385.0 423820 74.64297404722937
284 353171 2074459.0 102037.0 426069 73.1896508129404
285 607514 493850.0 24915.0 423056 71.35701384708005
286 422156 1981298.0 91530.0 646914 77.92715830875122
287 460505 5908.0 560.0 429312 37.98
288 301284 1198272.0 53065.0 352902 81.29236219730521
289 601022 25912.0 1427.0 423587 65.37014716187807
290 446854 1736536.0 85728.0 353895 72.92284434490482
291 215025 233830.0 10649.0 170530 79.0485491595455
292 624412 1815316.0 93355.0 140033 70.00308071340582
293 433816 270701.0 14555.0 413965 66.95455857093782
294 606083 1640062.0 74228.0 359020 79.54172549442258
295 618591 2255773.0 106056.0 306036 76.57070604209099
296 426062 1129666.0 56987.0 152235 71.36360222506887
297 303550 466437.0 22633.0 396483 74.19136658860954
298 612231 468830.0 24581.0 607705 68.66230015052278
299 413464 1236501.0 56628.0 143125 78.60781945327399
300 350038 372999.0 18317.0 346355 73.30875143309494
301 623244 2038707.0 101072.0 347269 72.61501899635904
302 658336 4257312.0 192085.0 353835 79.78927662232866
303 429250 650947.0 32244.0 140495 72.67737253442502
304 632115 2410072.0 122737.0 162384 70.68984250877894
305 393334 2399928.0 107682.0 403870 80.2338440965064
306 445162 1388102.0 71582.0 624485 69.81038808639046
307 143325 507058.0 28394.0 393941 64.28853983235895
308 393414 611800.0 33800.0 606492 65.1621301775148
309 309930 366631.0 22268.0 397152 59.27212142985451
310 301132 514129.0 24892.0 393160 74.35579302587178
311 659444 3953110.0 183487.0 143641 77.55969632726027
312 187733 890503.0 45310.0 142150 70.75283160450232
313 188353 1564934.0 72517.0 410068 77.68885089013611
314 174353 545797.0 27105.0 161058 72.49102379634753
315 607351 1754845.0 87176.0 442253 72.46767458933653
316 617871 839395.0 42229.0 422360 71.55798148192001
317 404236 1373708.0 69989.0 157060 70.65894354827188
318 659430 3702306.0 172650.0 391056 77.19838748913988
319 196211 1306042.0 58197.0 306260 80.7902675395639
320 396689 772279.0 33279.0 143500 83.54230595871269
321 156007 884857.0 40530.0 195221 78.59573649148778
322 306219 2113488.0 101726.0 618716 74.7946129799658
323 195027 1967813.0 87454.0 353724 81.00403412079494
324 195298 1591775.0 69455.0 346121 82.50507522856526
325 309369 3602295.0 175037.0 632782 74.08868981986666
326 422476 1479199.0 72142.0 198261 73.81437165590086
327 456204 13318.0 979.0 309278 48.973237997957106
328 403423 1033156.0 55044.0 606520 67.57069980379332
329 188263 265427.0 12412.0 181371 76.98495004834031
330 152957 315173.0 18589.0 157350 61.037323148098345
331 433392 1452825.0 70546.0 173016 74.1384344966405
332 346950 823046.0 41367.0 393761 71.62631082747119
333 607573 970019.0 50158.0 161255 69.62136448821724
334 363110 6685958.0 332422.0 669132 72.40630523852212
335 346004 801415.0 46135.0 431413 62.5359054947437
336 446901 7968999.0 365392.0 692261 78.5140243902439
337 423729 2003286.0 99285.0 385238 72.63765523492975
338 393377 1214260.0 57119.0 188236 76.53033141336508
339 404374 3508551.0 155037.0 658851 81.4694788985855
340 174520 722137.0 31950.0 301866 81.36754929577467
341 393020 1136572.0 52200.0 188355 78.38427586206899
342 416251 25287.0 1482.0 677980 61.425910931174094
343 692343 7794696.0 355985.0 423239 78.82608986333696
344 620077 2059263.0 95953.0 249703 77.26018780027721
345 347269 1903108.0 85618.0 187465 80.02042561143685
346 431246 781479.0 42143.0 309238 66.75662387585126
347 423535 1128823.0 59287.0 152916 68.54391013206943
348 422793 1549625.0 72217.0 187022 77.2484318096847
349 308014 1077222.0 47369.0 603064 81.86787139268299
350 442247 920457.0 43684.0 171936 75.85489424045419
