 destination distance_m duration_s origin v_ave_kmph
0 4355 1861168.0 63401.0 30809 105.67979684863016
1 52752 769973.0 28181.0 72466 98.36069692345907
2 12961 2448714.0 83580.0 75504 105.47224694903088
3 27863 2621929.0 88298.0 58454 106.89873383315592
4 49267 3919505.0 127154.0 97118 110.969517278261
5 98292 4888531.0 159267.0 6230 110.49816722861608
6 76384 2196329.0 71212.0 24431 111.03162950064596
7 47011 1158668.0 39876.0 28465 104.60439362022272
8 41539 1147754.0 41459.0 12043 99.66266431896572
9 33177 2117789.0 68951.0 72914 110.57186117677773
10 49723 1040497.0 35803.0 14863 104.6222160154177
11 14479 1112400.0 37905.0 37743 105.64938662445587
12 729 125953.0 5573.0 716 81.36206710927685
13 91523 3827131.0 123031.0 29355 111.98536628979687
14 27868 1378210.0 47693.0 4910 104.03111567735307
15 10301 689521.0 24437.0 44455 101.57857347464909
16 74820 2293657.0 73611.0 93518 112.17297958185598
17 48915 1301892.0 42710.0 74344 109.73568719269493
18 69358 1948258.0 63194.0 90056 110.9872582840143
19 60677 986461.0 33316.0 14450 106.59321647256573
20 91749 469076.0 15253.0 89166 110.71091588539959
21 59225 1117905.0 41349.0 99003 97.32902851338606
22 5045 4407317.0 143524.0 97909 110.54834870823
23 60065 303996.0 10777.0 61232 101.5482601837246
24 51652 1061699.0 35322.0 40171 108.20781382707659
25 32726 5065256.0 167952.0 98261 108.57222063446699
26 6243 1042489.0 37024.0 27619 101.36561149524631
27 20541 569147.0 21024.0 6340 97.45667808219179
28 19490 3549093.0 115257.0 83202 110.85430646294802
29 65641 442275.0 19170.0 72426 83.05633802816901
30 6506 517443.0 19638.0 22066 94.85664527956007
31 68114 1253756.0 44270.0 71045 101.95440704766209
32 90744 1248687.0 39756.0 81525 113.07156655599155
33 25647 1838372.0 64330.0 4691 102.87796051608892
34 56459 2042350.0 69308.0 18013 106.08385756334046
35 77209 3193254.0 104391.0 97905 110.12170014656435
36 38665 1734975.0 57880.0 13034 107.91136834830685
37 16374 1637942.0 53805.0 39072 109.59188179537216
38 35011 2966787.0 96763.0 84537 110.3772433678162
39 59011 2785175.0 91261.0 37111 109.86763239499895
40 35578 1308857.0 43952.0 21794 107.20525118310884
41 75354 1006305.0 33991.0 36576 106.57815304051071
42 71758 1925657.0 65354.0 23310 106.07407656761637
43 56667 1992989.0 70550.0 24751 101.69752515946138
44 15258 413954.0 14313.0 25109 104.1175434919304
45 47830 981848.0 32680.0 55317 108.15951040391676
46 8033 1553484.0 51497.0 38233 108.59938248830028
47 94403 3339293.0 107326.0 62561 112.00878445111157
48 17128 4472812.0 143152.0 94121 112.48269811109868
49 78839 2975774.0 98526.0 14544 108.73055234151391
50 30537 1150974.0 39393.0 19027 105.18382453735435
